NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
1,순천향대학교 부속 서울병원,종합병원,02-709-9114,4401,"서울특별시 용산구 대사관로 59, (한남동)",http://www.schmc.ac.kr/seoul/kor/index.do
2,국립중앙의료원,종합병원,02-2260-7114,4564,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",http://www.nmc.or.kr
3,재단법인베스티안재단베스티안서울병원,종합병원,070-7609-9252,4701,"서울특별시 성동구 왕십리로 382, (하왕십리동)",
4,차의과학대학교 강남차병원,종합병원,02-3468-3000,6135,"서울특별시 강남구 논현로 566, 강남차병원 (역삼동)",http://gangnam.chamc.co.kr
5,서울적십자병원,종합병원,02-2002-8000,3181,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",http://www.srch.or.kr
6,서울특별시 동부병원,종합병원,02-920-9114,2584,"서울특별시 동대문구 무학로 124, (용두동)",http://www.dbhosp.go.kr
7,기쁨병원,종합병원,02-570-1234,6725,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",http://gibbeumhospital.com
8,세란병원,종합병원,02-737-0181,3030,"서울특별시 종로구 통일로 256, (무악동)",http://www.seran.co.kr/
9,강남베드로병원,종합병원,1544-7522,6271,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",
10,가톨릭대학교 여의도성모병원,종합병원,1661-7575,7345,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",http://www.cmcujb.or.kr/
11,서울성심병원,종합병원,02-966-1616,2488,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",http://www.sshosp.co.kr
12,혜민병원,종합병원,02-2049-9000,5056,"서울특별시 광진구 자양로 85, (자양동)",http://www.e-hyemin.co.kr
13,성애의료재단 성애병원,종합병원,02-840-7114,7354,"서울특별시 영등포구 여의대방로53길 22, (신길동)",http://www.sungae.co.kr
14,삼육서울병원,종합병원,02-2244-0191,2500,"서울특별시 동대문구 망우로 82, (휘경동)",http://www.symcs.co.kr
15,의료법인동신의료재단 동신병원,종합병원,02-396-9161,3653,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",http://www.dshospital.co.kr
16,한림대학교 한강성심병원,종합병원,02-2639-5114,7247,"서울특별시 영등포구 버드나루로7길 12, (영등포동7가)",http://hangang.hallym.or.kr
17,서울특별시보라매병원,종합병원,02-870-2114,7061,"서울특별시 동작구 보라매로5길 20, (신대방동)",http://www.brmh.org
18,의료법인서울효천의료재단 에이치플러스양지병원,종합병원,02-1877-8875,8779,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",http://www.newyjh.com
19,녹색병원,종합병원,02-490-2000,2221,"서울특별시 중랑구 사가정로49길 53, (면목동)",http://www.greenhospital.co.kr/main.php
20,씨엠병원,종합병원,02-2678-0001,7301,"서울특별시 영등포구 영등포로36길 13, (영등포동4가)",http://www.cmhospital.co.kr
21,한림대학교 강남성심병원,종합병원,02-829-5114,7441,"서울특별시 영등포구 신길로 1, (대림동)",http://kangnam.hallym.or.kr
22,대림성모병원,종합병원,02-829-9000,7442,"서울특별시 영등포구 시흥대로 657, (대림동)",http://www.drh.co.kr
23,명지성모병원,종합병원,02-1899-1475,7417,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",http://www.myongji-sm.co.kr/
24,의료법인성화의료재단  대한병원,종합병원,02-903-3232,1081,"서울특별시 강북구 도봉로 301, (수유동)",http://www.daehanh.com
25,경찰병원,종합병원,02-3400-1114,5715,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",http://www.nph.go.kr
26,성심의료재단강동성심병원,종합병원,02-2224-2114,5355,"서울특별시 강동구 성안로 150, (길동)",www.kdh.or.kr
27,의료법인풍산의료재단동부제일병원,종합병원,02-437-5011,2063,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",http://www.dbjeil.co.kr
28,서울특별시서울의료원,종합병원,02-2276-7000,2053,"서울특별시 중랑구 신내로 156, (신내동)",http://www.seoulmc.or.kr
29,의료법인 청구성심병원,종합병원,02-350-3300,3330,"서울특별시 은평구 통일로 873, (갈현동)",www.cgss.co.kr/
30,한국원자력의학원원자력병원,종합병원,02-970-2114,1812,"서울특별시 노원구 노원로 75, 한국원자력의학원 (공릉동)",http://www.kcch.re.kr
31,의료법인한전의료재단 한일병원,종합병원,02-901-3114,1450,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",http://www.kepcomedi.co.kr
32,홍익병원,종합병원,02-2693-5555,7937,"서울특별시 양천구 목동로 225, 홍익병원본관 (신정동)",www.hih.or.kr/
33,노원을지대학교병원,종합병원,02-970-8000,1830,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",http://www.eulji.or.kr/default.asp
34,한국보훈복지의료공단 중앙보훈병원,종합병원,02-2225-1111,5368,"서울특별시 강동구 진황도로61길 53, (둔촌동)",http://seoul.bohun.or.kr
35,희명병원,종합병원,02-804-0002,8626,"서울특별시 금천구 시흥대로 244, (시흥동)",http://www.hopehp.co.kr
36,구로성심병원,종합병원,02-2067-1500,8223,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",
37,한양대학교구리병원,종합병원,1644-9118,11923,"경기도 구리시 경춘로 153, (교문동)",http://guri.hyumc.com/index.asp?
38,가톨릭대학교 은평성모병원,종합병원,02-1811-7755,3312,"서울특별시 은평구 통일로 1021, (진관동)",http://www.cmcep.or.kr/
39,인제대학교 상계백병원,종합병원,02-950-1114,1757,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",http://www.paik.ac.kr/sanggye
40,강동경희대학교의대병원,종합병원,02-440-7114,5278,"서울특별시 강동구 동남로 892, (상일동)",http://www.khnmc.or.kr
41,광명성애병원,종합병원,02-2680-7114,14241,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",http://www.ksungae.co.kr/Index.asp
42,부민병원,종합병원,1577-7582,7590,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",http://www.bumin.co.kr/seoul
43,미즈메디병원,종합병원,02-2007-1000,7639,"서울특별시 강서구 강서로 295, (내발산동)",https://www.mizmedi.com/
44,이화여자대학교의과대학부속서울병원,종합병원,1522-7000,7804,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",
45,순천의료재단 성남정병원,종합병원,031-750-6000,13316,"경기도 성남시 수정구 수정로 76, 지하3~10층 (수진동)",http://www.chungsh.com
46,서울특별시서남병원,종합병원,1566-6688,8049,"서울특별시 양천구 신정이펜1로 20, (신정동)",
47,성남시의료원,종합병원,031-738-7000,13290,"경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)",
48,중앙대학교광명병원,종합병원,1811-7800,14353,"경기도 광명시 덕안로 110, (일직동)",
49,성남중앙병원,종합병원,031-743-3000,13161,"경기도 성남시 중원구 산성대로476번길 12, (금광동)",http://www.schosp.co.kr
50,효산의료재단 안양샘병원,종합병원,031-467-9114,14030,"경기도 안양시 만안구 삼덕로 9, (안양동, 안양샘병원)",http://anyang.samhospital.com
51,차의과학대학교분당차병원,종합병원,031-780-5000,13496,"경기도 성남시 분당구 야탑로 59, (야탑동)",bundang.chamc.co.kr
52,부천우리병원,종합병원,032-672-4100,14466,"경기도 부천시 오정구 소사로 726, 지하4층~지상5층 (원종동)",
53,의료법인자인의료재단(더자인병원),종합병원,031-930-3114,10518,"경기도 고양시 덕양구 중앙로 555, /중앙로557번길 555, /중앙로557번길 14, 지하1(일부),1-6층 (행신동)",https://www.the-jain.co.kr/
54,인산의료재단 메트로병원,종합병원,031-467-9000,14096,"경기도 안양시 만안구 명학로33번길 8, (안양동, 메트로병원)",http://www.metrohospital.co.kr/
55,우리들병원,종합병원,02-2660-7500,7505,"서울특별시 강서구 하늘길 70, (과해동)",http://seoul.wooridul.co.kr/
56,대진의료재단 분당제생병원,종합병원,031-779-0114,13590,"경기도 성남시 분당구 서현로180번길 20, (서현동)",http://www.dmc.or.kr
57,의료법인명지의료재단명지병원,종합병원,031-810-5114,10475,"경기도 고양시 덕양구 화수로14번길 55, (화정동)",https://mjh.or.kr
58,가톨릭대학교부천성모병원,종합병원,032-1577-0675,14647,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",http://www.cmcbucheon.or.kr
59,부천세종병원,종합병원,1599-6677,14754,"경기도 부천시 소사구 호현로489번길 28, (소사본동, 세종병원)",http://www.sejongh.co.kr
60,뉴대성병원,종합병원,032-610-1111,14577,"경기도 부천시 원미구 부천로 91, ,부흥로373번길18, 부흥로377(기존디에스병원A동) (심곡동)",
61,효산의료재단 지샘병원,종합병원,031-389-3000,15839,"경기도 군포시 군포로 591, (당동, (G샘병원)군포샘병원)",http://www.gsamhospital.com
62,국군수도병원,종합병원,031-725-6075,13574,"경기도 성남시 분당구 새마을로177번길 81, (율동)",
63,원광대학교 산본병원,종합병원,031-390-2300,15865,"경기도 군포시 산본로 321, (산본동)",http://www.wmcsb.co.kr
64,의료법인대인의료재단 다니엘종합병원,종합병원,032-670-0001,14513,"경기도 부천시 원미구 중동로 361, 다니엘종합병원 (약대동)",http://www.danielhospital.com
65,의료법인 록향의료재단 신천연합병원,종합병원,031-310-6300,14905,"경기도 시흥시 복지로 57, 복지로 61, 2층 (대야동)",http://www.suh.or.kr
66,국민건강보험공단일산병원,종합병원,1577-0013,10444,"경기도 고양시 일산동구 일산로 100, (백석동,백석1동 1241외1필지 4층)",http://www.nhimc.or.kr
67,경기도의료원의정부병원,종합병원,031-828-5000,11671,"경기도 의정부시 흥선로 142, (의정부동)",http://www.medical.or.kr/_uj_gpmc
68,근로복지공단인천병원,종합병원,032-500-0114,21417,"인천광역시 부평구 무네미로 446, (구산동)",
69,동국대학교일산불교병원,종합병원,031-1577-7000,10326,"경기도 고양시 일산동구 동국로 27, (식사동, 동국대학교일산병원)",http://www.dumc.or.kr/isom
70,인천세종병원,종합병원,032-240-8000,21080,"인천광역시 계양구 계양문화로 20-0, 인천세종병원",
71,의료법인 영동의료재단 의정부백병원,종합병원,031-856-8111,11778,"경기도 의정부시 금신로 322, (신곡동)",
72,한림병원,종합병원,032-540-9114,21079,"인천광역시 계양구 장제로 722, (작전동)",http://www.hallym.net/
73,남양주 한양병원,종합병원,031-510-0114,12048,"경기도 남양주시 오남읍 양지로 47-55, 47",http://www.hyny.co.kr
74,추병원,종합병원,031-845-7777,11686,"경기도 의정부시 평화로 650, (의정부동)",
75,의료법인성광의료재단일산차병원,종합병원,031-782-8300,10414,"경기도 고양시 일산동구 중앙로 1205, 지하1층(일부),지하2층,지하4층(일부),1층(일부),2층(일부),3층(일부),4~5층,6층(일부), 7~10층 (장항동)",
76,국립암센터,종합병원,031-920-0114,10408,"경기도 고양시 일산동구 일산로 323, (마두동)",http://www.ncc.re.kr
77,학교법인 을지학원 의정부을지대학교병원,종합병원,031-951-1000,11759,"경기도 의정부시 동일로 712, 을지대학교 의정부캠퍼스 및 부속병원 (금오동)",
78,현대병원,종합병원,031-574-9118,12013,"경기도 남양주시 진접읍 봉현로 21, (진접읍)",http://www.hdgh.co.kr
79,부평세림병원,종합병원,032-524-0591,21364,"인천광역시 부평구 부평대로 175,  (청천동)",http://www.iserim.co.kr
80,가톨릭대학교의정부성모병원,종합병원,1661-7500,11765,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",http://www.cmcujb.or.kr/
81,참조은병원,종합병원,1600-9955,12756,"경기도 광주시 광주대로 45, (경안동)",
82,근로복지공단안산병원,종합병원,031-500-1114,15324,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",http://www.kcomwel.or.kr/hospital/ansan/
